"type" "upvotes"
"student" 3
"student" 3
"student" 4
"student" 3
"student" 3
"student" 1
"student" 2
"student" 4
"student" 4
"student" 4
"student" 3
"student" 2
"student" 2
"student" 4
"student" 4
"student" 4
"student" 3
"student" 2
"student" 0
"student" 0
"student" 5
"student" 4
"student" 3
"student" 3
"student" 2
"student" 0
"instructor" 0
"instructor" 0
"instructor" 1
"instructor" 0
"instructor" 1
"instructor" 1
"instructor" 0
"instructor" 0
"instructor" 2
"instructor" 0
"instructor" 0
"instructor" 1
